Assembly	species
GCA_000326985.1_ASM32698v1	Drosophila suzukii
GCF_000472105.1_Dsuzukii.v01	Drosophila suzukii
GCA_021223935.1_ASM2122393v1	Drosophila pseudotakahashii
GCF_018152695.1_ASM1815269v1	Drosophila takahashii
GCA_002223445.1_ASM222344v1	Drosophila takahashii
GCF_000224235.1_Dtak_2.0	Drosophila takahashii
GCA_008121225.1_UCBerk_Dath_EA_1.0	Drosophila athabasca
GCA_008121215.1_UCBerk_Dath_EB_1.0	Drosophila athabasca
GCA_003185025.1_ASM318502v1	Drosophila athabasca
GCA_005876895.1_DaztRS1	Drosophila azteca
GCA_018150905.1_ASM1815090v1	Drosophila ambigua
GCA_009664405.1_UCBerk_Dbif_1.0	Drosophila bifasciata
GCF_900245975.1_DGUA_6	Drosophila guanche
GCF_018151105.1_ASM1815110v1	Drosophila obscura
GCF_002217835.1_Dobs_1.0	Drosophila obscura
GCA_018903505.1_ASM1890350v1	Drosophila subobscura
GCA_903684685.1_dsubES12G5	Drosophila subobscura
GCF_008121235.1_UCBerk_Dsub_1.0	Drosophila subobscura
GCA_900682585.1_ASM90068258v1	Drosophila subobscura
GCA_002749795.1_Dsub_1.0	Drosophila subobscura
GCA_018150885.1_ASM1815088v1	Drosophila tristis
GCA_008121275.1_UCBerk_Dlow_1.0	Drosophila lowei
GCF_003369915.1_D.miranda_PacBio2.1	Drosophila miranda
GCA_003369915.1_D.miranda_PacBio2.0	Drosophila miranda
GCF_000269505.1_DroMir_2.2	Drosophila miranda
GCA_001014365.1_ASM101436v1	Drosophila miranda
GCA_020698555.1_M40_MC	Drosophila persimilis
GCA_018904465.1_ASM1890446v1	Drosophila persimilis
GCF_003286085.1_DperRS2	Drosophila persimilis
GCA_003286085.1_DperRS1	Drosophila persimilis
GCF_000005195.2_dper_caf1	Drosophila persimilis
GCA_020698565.1_ST_MC	Drosophila pseudoobscura
GCA_018904455.1_ASM1890445v1	Drosophila pseudoobscura
GCF_009870125.1_UCI_Dpse_MV25	Drosophila pseudoobscura
GCA_009870125.1_UCI_Dpse_MV25	Drosophila pseudoobscura
GCA_004329205.1_UCBerk_Dpse_1.0	Drosophila pseudoobscura
GCA_000001765.3_Dpse_4.0	Drosophila pseudoobscura
GCF_000001765.3_Dpse_3.0	Drosophila pseudoobscura
GCA_001014495.1_ASM101449v1	Drosophila pseudoobscura
GCA_000149495.1_ASM14949v1	Drosophila pseudoobscura
GCA_018903615.1_ASM1890361v1	Drosophila neocordata
GCA_018151275.1_ASM1815127v1	Drosophila prosaltans
GCA_018903575.1_ASM1890357v1	Drosophila saltans
GCA_018150375.1_ASM1815037v1	Drosophila sturtevanti
GCA_021224005.1_ASM2122400v1	Drosophila setifemur
GCA_018150745.1_ASM1815074v1	Drosophila sucinea
GCA_018150345.1_ASM1815034v1	Drosophila equinoxialis
GCA_018903935.1_ASM1890393v1	Drosophila insularis
GCA_018152135.1_ASM1815213v1	Drosophila paulistorum
GCA_018151315.1_ASM1815131v1	Drosophila paulistorum
GCA_018151085.1_ASM1815108v1	Drosophila tropicalis
GCA_018902025.1_UCI_dwil_1.0	Drosophila willistoni
GCA_018903445.1_ASM1890344v1	Drosophila willistoni
GCA_018153465.1_ASM1815346v1	Drosophila willistoni
GCF_000005925.1_dwil_caf1	Drosophila willistoni
